(0, 50, -434.0)
(1, 30, -734.0)
(2, 20, -789.0)
(3, 50, -902.0)
(4, 50, -1294.0)
(5, 20, -999.0)
(6, 50, -1211.0)
(7, 30, -1744.0)
(8, 50, -1370.0)
(9, 10, -1052.0)
(10, 30, -1086.0)
(11, 50, -753.0)
(12, 50, -1052.0)
(13, 50, -1218.0)
(14, 20, -1003.0)
(15, 30, -1171.0)
(16, 50, -1576.0)
(17, 20, -1322.0)
(18, 50, -1679.0)
(19, 50, -1810.0)
(20, 50, -1835.0)
(21, 50, -1755.0)
(22, 50, -2268.0)
(23, 10, -2061.0)
(24, 50, -2076.0)
(25, 10, -2651.0)
(26, 30, -2049.0)
(27, 50, -1988.0)
(28, 20, -2172.0)
(29, 30, -1996.0)
(30, 40, -1355.0)
(31, 10, -1308.0)
(32, 50, -880.0)
(33, 50, -629.0)
(34, 30, -626.0)
(35, 30, -600.0)
(36, 40, -600.0)
(37, 10, -480.0)
(38, 10, -45.0)
(39, 40, -58.0)
(40, 10, -60.0)
(41, 30, -60.0)
(42, 10, -60.0)
(43, 30, -60.0)
