(0, 40, -27.41176470588235)
(1, 50, -38.357142857142854)
(2, 20, -33.54054054054054)
(3, 20, -36.48717948717949)
(4, 20, -43.775)
(5, 10, -35.5)
(6, 20, -38.326530612244895)
(7, 40, -50.68421052631579)
(8, 20, -50.83076923076923)
(9, 10, -55.04477611940298)
(10, 20, -42.7125)
(11, 20, -49.26744186046512)
(12, 50, -51.64772727272727)
(13, 20, -56.28260869565217)
(14, 20, -50.20754716981132)
(15, 20, -53.153153153153156)
(16, 20, -53.36283185840708)
(17, 20, -50.19327731092437)
(18, 20, -52.721311475409834)
(19, 40, -55.14173228346457)
(20, 20, -56.68217054263566)
(21, 20, -56.46616541353384)
(22, 20, -57.92481203007519)
(23, 40, -56.29710144927536)
(24, 20, -55.13768115942029)
(25, 20, -58.75912408759124)
(26, 20, -56.21830985915493)
(27, 10, -58.701388888888886)
(28, 20, -57.236486486486484)
(29, 20, -58.16197183098591)
(30, 40, -57.50714285714286)
(31, 30, -58.00729927007299)
(32, 20, -57.8)
(33, 20, -55.906474820143885)
(34, 20, -58.40714285714286)
(35, 20, -56.26573426573427)
(36, 20, -59.402877697841724)
(37, 30, -58.06293706293706)
(38, 50, -56.94326241134752)
(39, 20, -58.07299270072993)
(40, 40, -55.21212121212121)
(41, 40, -53.8)
(42, 40, -59.22727272727273)
(43, 20, -56.630434782608695)
