(0, 40, -28.4)
(1, 30, -32.95238095238095)
(2, 30, -34.625)
(3, 50, -36.56)
(4, 40, -40.714285714285715)
(5, 30, -39.107142857142854)
(6, 40, -42.02857142857143)
(7, 20, -48.02325581395349)
(8, 20, -44.15909090909091)
(9, 50, -37.65853658536585)
(10, 50, -43.77777777777778)
(11, 40, -33.5)
(12, 40, -36.75)
(13, 40, -44.92857142857143)
(14, 50, -36.65625)
(15, 20, -39.45945945945946)
(16, 20, -45.39473684210526)
(17, 10, -39.108108108108105)
(18, 40, -40.30555555555556)
(19, 20, -49.07692307692308)
(20, 30, -45.755102040816325)
(21, 40, -44.44897959183673)
(22, 30, -50.68627450980392)
(23, 50, -40.035714285714285)
(24, 40, -41.78688524590164)
(25, 20, -50.985074626865675)
(26, 40, -49.97142857142857)
(27, 10, -52.5)
(28, 50, -53.78260869565217)
(29, 40, -51.68181818181818)
(30, 10, -45.86440677966102)
(31, 30, -55.22641509433962)
(32, 20, -49.583333333333336)
(33, 40, -54.38461538461539)
(34, 20, -53.36)
(35, 30, -49.5)
(36, 40, -57.8)
(37, 40, -49.833333333333336)
(38, 20, -52.75)
(39, 20, -55.0)
(40, 30, -60.0)
(41, 50, -60.0)
(42, 50, -60.0)
(43, 40, -60.0)
