(0, 20, 6.3303051434299435)
(1, 10, 4.651716274291465)
(2, 20, 6.403615612663482)
(3, 10, 4.631683620979447)
(4, 50, 4.354987775201472)
(5, 10, 4.180889430886065)
(6, 10, 3.3121205625825465)
(7, 20, 0.9900214742562289)
(8, 50, 3.6471980672018187)
(9, 30, 4.476546633962634)
(10, 10, 4.563876841973274)
(11, 20, 5.382717312594489)
(12, 10, 4.951745687217357)
(13, 10, 3.4022330731574866)
(14, 50, 5.811481071361849)
(15, 10, 3.0852042221139033)
(16, 10, 3.0400040849339494)
(17, 30, 3.8225912926972003)
(18, 50, 2.6604131521707166)
(19, 20, 3.050482850609518)
(20, 10, 3.444198764116444)
(21, 10, 4.136557250844205)
(22, 40, 2.144262941183785)
(23, 10, 2.9114757097897206)
(24, 10, 4.1657320729691705)
(25, 40, 1.4588827449064026)
(26, 30, 3.457768965178853)
(27, 10, 3.532676646604206)
(28, 10, 2.492684656038645)
(29, 50, 4.086414495863923)
(30, 10, 3.7307944145228404)
(31, 40, 2.4313578917942844)
(32, 10, 5.796243615606628)
(33, 10, 6.0702338609870905)
(34, 20, 0.8987104692702461)
(35, 50, 0.7799733025563683)
(36, 10, 0.0)
(37, 10, 0.0)
(38, 10, 0.30222157727996535)
(39, 10, 0.0)
(40, 30, 0.0)
(41, 10, 0.0)
(42, 10, 0.0)
