(0, 20, -437.0)
(1, 20, -881.0)
(2, 20, -763.0)
(3, 20, -985.0)
(4, 20, -1301.0)
(5, 20, -1236.0)
(6, 20, -1326.0)
(7, 40, -1867.0)
(8, 20, -1562.0)
(9, 20, -1384.0)
(10, 20, -1503.0)
(11, 40, -863.0)
(12, 40, -1292.0)
(13, 40, -1528.0)
(14, 40, -1441.0)
(15, 40, -1688.0)
(16, 40, -2039.0)
(17, 40, -1783.0)
(18, 40, -1898.0)
(19, 40, -2274.0)
(20, 40, -2764.0)
(21, 40, -2819.0)
(22, 50, -3256.0)
(23, 30, -2931.0)
(24, 20, -2780.0)
(25, 40, -3252.0)
(26, 40, -3083.0)
(27, 40, -3896.0)
(28, 40, -3384.0)
(29, 40, -3073.0)
(30, 20, -2738.0)
(31, 40, -2546.0)
(32, 40, -2023.0)
(33, 10, -1797.0)
(34, 50, -1502.0)
(35, 40, -589.0)
(36, 20, -459.0)
(37, 10, -448.0)
(38, 30, -327.0)
(39, 40, -231.0)
(40, 10, -51.0)
(41, 10, -60.0)
(42, 40, -60.0)
(43, 40, -60.0)
