(0, 20, -25.705882352941178)
(1, 20, -33.88461538461539)
(2, 20, -29.346153846153847)
(3, 20, -35.17857142857143)
(4, 50, -42.90625)
(5, 20, -38.29032258064516)
(6, 20, -39.61764705882353)
(7, 40, -47.333333333333336)
(8, 40, -40.976190476190474)
(9, 20, -36.575)
(10, 20, -43.24324324324324)
(11, 30, -37.303030303030305)
(12, 10, -43.138888888888886)
(13, 20, -44.16216216216216)
(14, 20, -41.63414634146341)
(15, 10, -41.09090909090909)
(16, 30, -47.0)
(17, 20, -45.094339622641506)
(18, 20, -47.24561403508772)
(19, 10, -44.58181818181818)
(20, 20, -45.87719298245614)
(21, 20, -44.733333333333334)
(22, 20, -47.09230769230769)
(23, 20, -40.1)
(24, 10, -47.4)
(25, 20, -49.476190476190474)
(26, 20, -46.84931506849315)
(27, 20, -45.34722222222222)
(28, 20, -49.791044776119406)
(29, 20, -45.69565217391305)
(30, 20, -53.36507936507937)
(31, 20, -49.549019607843135)
(32, 50, -47.885714285714286)
(33, 20, -48.78260869565217)
(34, 20, -43.90909090909091)
(35, 20, -58.625)
(36, 20, -60.0)
(37, 20, -60.0)
(38, 20, -55.0)
(39, 20, -49.4)
(40, 30, -51.0)
(41, 20, -60.0)
(42, 40, -60.0)
(43, 30, -60.0)
