(0, 20, -437.0)
(1, 30, -868.0)
(2, 40, -742.0)
(3, 20, -985.0)
(4, 20, -1128.0)
(5, 50, -1176.0)
(6, 20, -1407.0)
(7, 10, -2158.0)
(8, 20, -1692.0)
(9, 20, -1278.0)
(10, 20, -1441.0)
(11, 20, -1110.0)
(12, 20, -1347.0)
(13, 20, -1377.0)
(14, 30, -1566.0)
(15, 30, -1850.0)
(16, 20, -2444.0)
(17, 50, -2104.0)
(18, 20, -2005.0)
(19, 20, -2225.0)
(20, 20, -2557.0)
(21, 40, -2550.0)
(22, 20, -3154.0)
(23, 20, -3046.0)
(24, 30, -2886.0)
(25, 20, -3418.0)
(26, 50, -3230.0)
(27, 20, -2932.0)
(28, 50, -3601.0)
(29, 50, -3485.0)
(30, 50, -3488.0)
(31, 50, -3260.0)
(32, 50, -2583.0)
(33, 50, -2252.0)
(34, 20, -1482.0)
(35, 50, -937.0)
(36, 40, -705.0)
(37, 30, -657.0)
(38, 50, -446.0)
(39, 10, -110.0)
(40, 30, -56.0)
(41, 10, -60.0)
(42, 50, -60.0)
(43, 10, -60.0)
