(0, 40, -426.0)
(1, 40, -715.0)
(2, 40, -768.0)
(3, 40, -860.0)
(4, 50, -1254.0)
(5, 40, -1297.0)
(6, 40, -1699.0)
(7, 40, -2181.0)
(8, 40, -1668.0)
(9, 40, -1384.0)
(10, 40, -1667.0)
(11, 20, -924.0)
(12, 40, -1324.0)
(13, 40, -1505.0)
(14, 20, -1302.0)
(15, 40, -1687.0)
(16, 40, -1673.0)
(17, 40, -1365.0)
(18, 40, -1156.0)
(19, 40, -1523.0)
(20, 40, -1670.0)
(21, 40, -1540.0)
(22, 40, -1904.0)
(23, 40, -1746.0)
(24, 40, -1971.0)
(25, 40, -2046.0)
(26, 40, -2220.0)
(27, 40, -2447.0)
(28, 40, -2509.0)
(29, 50, -2136.0)
(30, 50, -1570.0)
(31, 50, -1371.0)
(32, 40, -799.0)
(33, 10, -405.0)
(34, 40, -291.0)
(35, 40, -300.0)
(36, 40, -300.0)
(37, 20, -239.0)
(38, 40, -50.0)
(39, 30, -60.0)
(40, 50, -60.0)
(41, 50, -60.0)
(42, 30, -60.0)
