(0, 20, -437.0)
(1, 20, -881.0)
(2, 20, -763.0)
(3, 20, -985.0)
(4, 30, -1330.0)
(5, 20, -1181.0)
(6, 50, -1374.0)
(7, 30, -2025.0)
(8, 20, -1706.0)
(9, 20, -1450.0)
(10, 30, -1417.0)
(11, 10, -763.0)
(12, 50, -888.0)
(13, 20, -1025.0)
(14, 20, -1065.0)
(15, 20, -1355.0)
(16, 20, -1788.0)
(17, 20, -1333.0)
(18, 20, -1270.0)
(19, 20, -1887.0)
(20, 20, -2018.0)
(21, 40, -2045.0)
(22, 20, -2388.0)
(23, 20, -2010.0)
(24, 20, -2050.0)
(25, 50, -2412.0)
(26, 40, -2198.0)
(27, 40, -2087.0)
(28, 40, -2354.0)
(29, 40, -1895.0)
(30, 40, -1542.0)
(31, 40, -1313.0)
(32, 20, -767.0)
(33, 20, -681.0)
(34, 50, -380.0)
(35, 20, -360.0)
(36, 20, -360.0)
(37, 20, -240.0)
(38, 40, -240.0)
(39, 20, -108.0)
(40, 20, -55.0)
(41, 40, -60.0)
(42, 40, -60.0)
(43, 40, -60.0)
